N¯;Description;Description de recherche;Stocks;QtÇ sur commande vente;QtÇ sur commande achat;Article de substitution;BloquÇ;PrÇ-commande;Vente bloquÇe;Achat bloquÇ;N¯ fournisseur;1-FAMILLE ;2-Ss Famille ;3-Ss Ss Famille ;4-Ss Ss Ss Famille;5-MARQUE;6-SEMMARIS;7-NUMERO UTI
000363;BATONNET CANDY BLANC X 100;;16,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001351;BOIS CHAU;ACCO GOUR;SUCR;;CANA;CONSEPI;N
000365;BATONNET CANDY ROUX X 100;;1,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001351;BOIS CHAU;ACCO GOUR;SUCR;;CANA;CONSEPI;N
000366;MINI BATONNETS  BLANC X 100;;24,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001351;BOIS CHAU;ACCO GOUR;SUCR;;CANA;CONSEPI;N
000378;"SUCRE ""BONNE HEURE"" SUREMBALLE 150G";;1,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001351;EPIC SUCR;SUCR;;;CANA;CONSEPI;N
000379;CARROUSEL SUCRIER 8 BATONNETS;;9,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001351;BOIS CHAU;ACCO GOUR;SUCR;;CANA;CONSEPI;N
000380;BOULIER SOCLE PLEXI INOX;;10,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001351;BOIS CHAU;ACCO GOUR;SUCR;;CANA;;N
000382;RECHAR AMBRE EBENE BOULIERX302;;1,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001351;BOIS CHAU;ACCO GOUR;SUCR;;CANA;CONSEPI;N
000398;SUCRE PARIS BTE FENETRE 95G;;4,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001351;EPIC SUCR;SUCR;;;CANA;CONSEPI;N
000399;SUCRE BOUQUET DE FLEUR 105G;;0,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001351;EPIC SUCR;SUCR;;;CANA;CONSEPI;N
000401;COULIS DE SALIDOU 315G;;46,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100043;EPIC SUCR;CONF;CARA;;MAI ARM;PPC;N
000407;CARAMELS BRETONS  AU BEURRE SALE 300G;;36,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100043;EPIC SUCR;CONF;CARA;;MAI ARM;PPC;N
000409;CARAMELS TENDRES MINI CUBE 50G;;49,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100043;EPIC SUCR;CONF;CARA;;MAI ARM;PPC;N
000410;CARAMELS BRETONS 500G;;40,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100043;EPIC SUCR;CONF;CARA;;MAI ARM;PPC;N
000418;CUBE METAL CARAMELS TENDRES 150G;;37,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100043;EPIC SUCR;CONF;CARA;;MAI ARM;PPC;N
000420;ETUI SUCETTES FRUITS X10 150G;;13,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100043;EPIC SUCR;CONF;BONB;;MAI ARM;PPC;N
000421;ETUI SUCETTES CARAMEL X10 150G;;14,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100043;EPIC SUCR;CONF;BONB;;MAI ARM;PPC;N
000423;SEVE DE BOULEAU BIO 1L;;591,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100787;EPIC SUCR;MIEL CONF;MIEL ERAB;AGAV;MEDE;PPC;N
000429;SIROP D'ERABLE GRADE A 1L;;133,;1,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001295;EPIC SUCR;MIEL CONF;MIEL ERAB;ERAB;COU QUE;CONSEPI;N
000430;SIROP D'ERABLE GRADE A BIO VERRE 189ML;;8,;0,;120,;FAUX;FAUX;FAUX;FAUX;FAUX;001295;EPIC SUCR;MIEL CONF;MIEL ERAB;ERAB;COU QUE;CONSEPI;N
000435;CANNEBERGES 1 KG;;205,;125,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001295;AUT FRUI;AUTR FRUI;FRUI MORC;;COU QUE;CONSEPI;N
000442;EAU AROME DE FLEUR D'ORANGER 50CL;;292,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100799;AIDE CULI;AROM COLO;AROM;ZAUTR AROM;ORIEN;PPC;N
000445;TAHINI CREME DE SESAME KANATER 900G;;1 140,;2,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100064;AIDE CULI;MISE PLAC;CONC;;ALKA;CONSEPI;N
000446;MELASSE DE GRENADE 410G;;147,;37,;312,;FAUX;FAUX;FAUX;FAUX;FAUX;001191;EPIC SUCR;SUCR;;;ALWA;CONSEPI;N
000452;MIEL D'ACACIA UE 1KG;;106,;0,;0,;VRAI;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
