Sku;Description;ReduxCoef
4680;VINAIGRE BALSAMIQUE DE MODENE IGP HAUTE DENSITE 25CL;
4722;VINAIGRE BALSAMIQUE DE MODENE IGP 1L;
4726;"VINAIGRE BALSAMIQUE DE MODENE IGP ""1891"" 25CL";
4754;HUILE PEPIN DE COURGE 25CL;
4815;HUILE OLIVE MAS LES BOUVIERS 75CL;
4816;HUILE OLIVE MILLESIME 23 75CL;
4818;HUILE OLIVE NYONS AOP 70CL;
4824;HUILE NOIX 50% VIERGE MEDELYS 1L;
4825;HUILE NOISETTE 50% VIERGE MEDELYS 1L;
4853;HUILE PEPINS RAISINS PET 1 L;
4878;VINAIGRE PULPE MANGUE 20CL;
4879;VINAIGRE PULPE PASSION 20CL;
4893;VINAIGRETTE HUILE OLIVE 16%  & BALSAMIQUE 20ML X256;
4897;MOUTARDE SAVORA POT 385G;
4908;TABASCO ROUGE 60 ML;
4946;SAUCE ANGLAISE WORCESTER HEINZ 150ML;
5148;JUS DE TRUFFES TUBER BRUMALE 400G;
5156;BRISURES TRUFFES MELANO (100G NE) 105G;
5167;HUILE PEPIN RAISIN AROME TRUFFE NOIRE 250ML;
5168;HUILE PEPIN RAISIN AROME TRUFFE BLANCH 250ML;
5209;SAFRAN FILAMENTS 10G;
5219;SAFRAN POUDRE 10G;
5278;TEXTURAS KAPPA BOITE 400G;
5301;TEXTURAS LECITE BOITE 300G;
5307;TEXTURAS XANTANA BOITE 600G;
5308;TEXTURAS SUCRO BOITE 600G;
5314;PONZU PLATINIUM 300ML;
5333;JUS CITRON YUZU X 360 ML;
5346;ECLATS SUCRE PETILLANTS NEUTRE 1KG;
5451;ALCAPARRON NET EGOUTTE 2 KG;
5500;AMANDE CRUE DECORTIQUEE 34/36 1KG;
5501;AMANDE BLANCHIE EMONDEE 34/36 1KG;
5505;NOISETTE CRUE DECORTIQUEE 13/15 1KG;
5506;NOISETTE BLANCHIE EMONDEE 13/15 1KG;
5507;NOISETTE HACHEE TORREFIEE 1KG;
5510;AMANDE EFFILEE X 1KG;
5511;AMANDE POUDRE BLANCHIE 100%  1KG;
5512;AMANDE POUDRE EXTRA FINE 1KG;
5514;AMANDE HACHEE BLANCHIE 1KG;
5519;PRUNEAUX AGEN DENOYAUTE 1KG;
5520;NOISETTE EN POUDRE BRUTE 1KG;
5550;RAISIN SEC GOLDEN 1KG;
5557;RAISIN CORINTHE 1 KG;
5572;NOIX DE CAJOU TRUFFE NOIRE 1,1% 500G;
5573;NOIX DE CAJOU GRILLEES SALEES 1KG;
5584;PISTACHE VERTE POUDRE 1KG;
5592;NOIX MACADAMIA DECORTIQUEE 1KG;
5593;NOIX PECAN 1KG;
5594;SESAME GRAINES BLANCHES 1KG;
5595;NOIX COCO RAPEE X 1KG;
5597;MAIS A POP CORN 1 KG;
5608;PISTACHE EMONDEE GRADE C 1KG;
5609;SESAME GRAINES DOREES 1 KG;
5622;FIGUE MOELLEUSE NATURE X 2KG;
5625;ABRICOTS MOELLEUX Nø4 1KG;
5632;CACAHUETES BLANCHIES GRILLEES 1 KG;
5633;CACAHUETES BLANCHIES NON SALEES 1KG;
5660;NOIX DE COCO LAMELLES 500GR;
5736;NOIX ST JACQUES SS CORAIL X48;
5754;ESCALOPES DE FOIE GRAS CRU GRAND CHEF SURG 60/80G;
5787;PUREE DE BERGAMOTE 100% SURG BOIRON 1KG;
5799;PUREE DE YUZU 100% SURG BOIRON 1KG;
5801;PUREE DE MIRABELLE 100% SURG BOIRON 1 KG;
5802;PUREE DE POIRE 100% SURG BOIRON 1 KG;
5803;PUREE DE POMME VERTE SURG BOIRON 1KG;
5805;PUREE DE FIGUE VIOLETTE 100% SURG BOIRON 1KG;
5806;PUREE DE PECHE SANGUINE 100% SURG BOIRON 1KG;
5807;PUREE DE PECHE BLANCHE 100% SURG BOIRON 1KG;
5808;PUREE DE MELON 100% SURG BOIRON 1KG;
5810;PUREE DE FRAISE MARA DES BOIS 100% SURG BOIRON 1KG;
5812;PUREE DE CASSIS 100% SURG BOIRON 1KG;
5814;PUREE DE FRAMBOISE 100% SURG BOIRON 1KG;
5816;PUREE DE MURE 100% SURG BOIRON 1KG;
5822;PUREE D'ANANAS 100% SURG BOIRON 1KG;
5823;PUREE DE BANANE SURG BOIRON 1KG;
5825;PUREE DE PASSION 100% SURG BOIRON 1KG;
5826;PUREE DE GOYAVE 100% SURG BOIRON 1KG;
5828;PUREE DE LITCHI 100% SURG BOIRON 1KG;
5829;PUREE DE MANGUE 100% SURG BOIRON 1KG;
5831;PUREE D'ORANGE SANGUINE 100% SURG BOIRON 1KG;
5833;PUREE DE KALAMANSI 100% SURG BOIRON 1KG;
5834;PUREE DE PAMPLEMOUSSE ROSE 100% SURG BOIRON 1KG;
5842;FRAMBOISE BRISEE SURG BOIRON 1KG;
5850;MURE ENTIERE SURG BOIRON 1KG;
5853;PUREE DE CITRON VERT 100% SURG BOIRON 1KG;
5870;OREILLON D'ABRICOT SURG BOIRON 1KG;
5871;MYRTILLE ENTIERE SURG BOIRON 1KG;
5924;PUREE D'ARGOUSIER 100% SURG BOIRON 1KG;
5961;MINI FILETS ANGUILLE FUME 100G;
6327;FILET DE LOMO BELLOTA 100% IBERIQUE ENV 400G;
6328;CHORIZO BELLOTA 100% IBERIQUE S/VIDE ENV 1KG;
6330;SAUCISSON DE BELLOTA 100% IBERIQUE S/VIDE KG;
6415;MAGRET CANARD ENV 400G;
6693;FOIE GRAS DE CANARD AUX 2 POIVRES & CHAMPAGNE 500G;
6696;FOIE GRAS DE CANARD ENTIER DE SUD OUEST IGP 500G;
6827;RHUM NEGRITA ORANGE MACERE 55% 1L;
6832;CITROR  PRO JAUNE 1L;
6837;COGNAC 40% PET 2L;
6838;PORTO ROUGE 19% PET 2L;
8057;KETCHUP TOP DOWN 560G;
8084;ANCHOIS FILETS HUILE 4/4 800G;
8088;FLORA PLANT PRO 31% MG 1L;
8089;FLORA PLANT PRO 15% MG 1L;
8090;VIOLIFE CREMEUX A TARTINER ORIGINAL 500G;
8100;CERISE AMARENA SIROP BOITE 4/4;
8102;DEMI ABRICOTS 4/4;
8103;LITCHI BTE 3/4;
8104;DEMI PECHES BLANCHES SIROP 4/4;
8112;AMARENA 3/1 (1360 NE) 2,7KG;
8116;MIRABELLES DENOYAUTEES 2/1;
8117;DEMI POIRE WILLIAM 5/1;
8173;SIROP D'AGAVE BIO SOUPLE 690G;
8324;FONDS BLANC VOLAILLE PREMIUM 630G;
8325;FONDS BRUN VEAU LIE PREMIUM 600G;
8326;FONDS VEAU PREMIUM 640 G;
8327;FUMET POISSON PREMIUM 630G;
8375;SEL FUME VIKING NORVEGE 225G;
8390;CHAPELURE DE PAIN BLANC 1KG;
8392;FECULE DE POMME DE TERRE 1 KG;
8405;ANIS VERT ENTIER PET 1L 320 G;
8408;BAIES ROSES PET 1L 250G;
8409;CARDAMOME VERTE ENTIERE PET 1L 300G;
8410;BADIANE ENTIERE ANIS ETOILEE 1L 180G;
8413;CANNELLE ENTIERE 6 CM PET 1L 200G;
8419;CANNELLE MOULUE SUPERIEURE 1 L 500G;
8420;CORIANDRE ENTIER PET 1L 300G;
8440;FENOUIL GRAINES PET 1L 300G;
8448;GIROFLE CLOU ENTIER PET 1L 300G;
